aX,aY,aZ,gX,gY,gZ
-0.022,-0.023,1.001,0.793,0.793,0.000
-0.022,-0.023,1.001,0.854,0.549,-0.061
-0.022,-0.023,1.001,1.099,0.854,-0.061
-0.021,-0.023,1.001,1.099,0.793,0.061
-0.023,-0.023,1.001,0.977,0.793,-0.183
-0.025,-0.023,1.001,0.854,0.793,-0.061
-0.026,-0.021,1.001,1.099,0.732,-0.183
-0.026,-0.022,1.001,1.099,0.732,-0.244
-0.026,-0.021,1.001,1.160,0.916,-0.122
-0.027,-0.021,1.001,1.038,0.854,-0.061
-0.027,-0.022,1.001,1.282,0.854,-0.305
-0.027,-0.018,1.001,0.854,0.854,-0.366
-0.026,-0.022,1.002,0.977,0.793,-0.183
-0.024,-0.016,1.002,0.977,0.977,-0.183
-0.026,-0.022,1.001,1.099,0.977,0.061
-0.023,-0.021,1.001,0.854,0.793,0.000
-0.021,-0.022,1.001,0.732,0.854,-0.122
-0.021,-0.024,1.001,0.793,0.916,-0.061
-0.022,-0.024,1.001,0.671,0.977,-0.244
-0.023,-0.024,1.003,0.305,1.038,-0.183

1.053,-0.637,1.008,0.305,2.136,-18.494
-0.444,0.198,0.988,-0.916,2.563,-72.510
-0.332,0.331,0.992,2.258,1.648,-91.248
0.051,0.043,1.004,2.441,1.099,-65.979
-0.136,-0.038,1.006,1.770,1.343,-36.743
-0.235,0.001,1.007,1.343,1.221,-20.935
-0.296,0.078,0.998,1.343,1.038,-13.000
-0.403,0.109,0.996,0.610,1.221,-6.775
-0.497,0.159,1.001,0.732,0.793,-1.587
-0.176,0.028,1.010,1.526,0.549,0.305
-0.028,-0.016,1.001,1.038,0.977,0.000
-0.023,-0.020,0.998,0.488,1.099,-0.183
-0.030,-0.019,1.001,0.305,0.916,-0.122
-0.034,-0.019,1.002,0.610,0.854,-0.061
-0.037,-0.020,1.002,0.793,0.916,-0.122
-0.037,-0.020,1.000,0.916,0.916,-0.122
-0.037,-0.022,0.997,1.099,0.977,-0.122
-0.033,-0.021,1.001,0.916,0.793,0.000
-0.030,-0.021,1.007,0.732,0.793,-0.122
-0.028,-0.021,1.005,0.793,0.916,-0.244
-0.025,-0.021,1.001,0.366,0.916,-0.122
-0.022,-0.021,1.000,0.122,1.038,0.061
-0.022,-0.020,1.001,0.305,1.343,-0.061
-0.055,-0.045,1.004,0.061,1.160,-0.183
-0.032,-0.019,1.000,0.183,1.282,-1.587
